,Event,mass1,mass2,mchirp,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,mass1_recover,mass2_recover,mchirp_recover,spin1x_recover,spin1y_recover,spin1z_recover,spin2x_recover,spin2y_recover,spin2z_recover,SNR,P_NS,P_EMB,M_rem,label
77,62870_1000628700,1.4012903,1.4425782,1.237709,0.0,0.0,0.0,0.0,0.0,0.0,1.5125114,1.3375424,1.2377505,0.0,0.0,0.0,0.0,0.0,0.0,17.04528407906531,1.0,1.0,0.011738525876736352,0
78,67885_1000678849,1.2995749,1.4375205,1.1895734,0.0,0.0,0.0,0.0,0.0,0.0,1.7357247,1.0871317,1.1893784,0.0,0.0,0.0,0.0,0.0,0.0,10.32090953681327,1.0,1.0,0.03595427618398055,1
79,60829_1000608290,1.3997661,1.3988255,1.2181576,0.0,0.0,0.0,0.0,0.0,0.0,1.653288,1.190476,1.2180434,0.0,0.0,0.0,0.0,0.0,0.0,9.42005161061281,1.0,1.0,0.012254087076459816,0
80,62188_1000621879,1.4353473,1.490279,1.2731833,0.0,0.0,0.0,0.0,0.0,0.0,1.6577452,1.2940542,1.2731066,0.0,0.0,0.0,0.0,0.0,0.0,14.45850915474202,1.0,1.0,0.005841513309613808,0
81,61957_1000619569,1.4026154,1.5461566,1.2817018,0.0,0.0,0.0,0.0,0.0,0.0,1.6823676,1.292766,1.2816316,0.0,0.0,0.0,0.0,0.0,0.0,15.54738282951019,1.0,1.0,0.01115059929307276,0
82,64335_1000643349,1.2536849,1.3135934,1.1171076,0.0,0.0,0.0,0.0,0.0,0.0,1.3190894,1.2485001,1.1171013,0.0,0.0,0.0,0.0,0.0,0.0,10.01964979267026,1.0,1.0,0.04990615182944361,1
83,68302_1000683020,1.3858929,1.3450851,1.188568,0.0,0.0,0.0,0.0,0.0,0.0,1.6552253,1.1336703,1.188283,0.0,0.0,0.0,0.0,0.0,0.0,9.59512879701715,1.0,1.0,0.024309087391087256,0
84,61526_1000615259,1.3913248,1.5105137,1.2618195,0.0,0.0,0.0,0.0,0.0,0.0,1.7222573,1.2266188,1.2616918,0.0,0.0,0.0,0.0,0.0,0.0,9.488193131006119,1.0,1.0,0.013490390145622911,0
85,60174_1000601740,1.3382871,1.3055373,1.1506855,0.0,0.0,0.0,0.0,0.0,0.0,1.6067631,1.0947645,1.1503808,0.0,0.0,0.0,0.0,0.0,0.0,9.367666183063331,1.0,1.0,0.034796918051642645,1
86,65661_1000656609,1.2996548,1.4353031,1.1887016,0.0,0.0,0.0,0.0,0.0,0.0,1.7230995,1.0930119,1.1885875,0.0,0.0,0.0,0.0,0.0,0.0,11.91116932088021,1.0,1.0,0.03594902937784684,1
